"filename", "language", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Blessan Corley\My Projects\Fixly\public\favicon.svg", "XML", -21, 0, -7, -8, -36
"c:\Users\Blessan Corley\My Projects\Fixly\public\offline.html", "HTML", 0, -274, -2, -46, -322
"c:\Users\Blessan Corley\My Projects\Fixly\public\sitemap-0.xml", "XML", -20, 0, 0, 0, -20
"c:\Users\Blessan Corley\My Projects\Fixly\public\sitemap.xml", "XML", -5, 0, 0, 0, -5
"Total", "-", -46, -274, -9, -54, -383
